fold,search,run,best_optimizer,n_test,RMSE,MAE,R2,best_val_loss,best_params,epochs,DM_stat,DM_pvalue,run_id,is_ensemble
fold2_search2_run4,2.0,4.0,RMSprop,44.0,0.0901039764285087,0.0674033463001251,-0.346314632292561,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,0.2958823093636211,0.7673199615824395,,
fold2_search2_run5,2.0,5.0,RMSprop,44.0,0.1373626738786697,0.0921694114804267,-2.1289316649266192,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,1.6778186178888963,0.09338251363480898,,
fold2_search2_run6,2.0,6.0,RMSprop,44.0,0.1479171514511108,0.1136376410722732,-2.628237584587838,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,2.8274773077404416,0.004691634043413773,,
fold2_search2_run7,2.0,7.0,RMSprop,44.0,0.1555986702442169,0.1303154677152633,-3.0148605373936483,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,4.110972472261731,3.939961769483524e-05,,
fold2_search2_run8,2.0,8.0,RMSprop,44.0,0.1395407170057296,0.1051523238420486,-2.228944788163298,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,2.1042587753589137,0.03535588000748113,,
fold2_search2_run9,2.0,9.0,RMSprop,44.0,0.1390089988708496,0.1137094721198082,-2.204383347490117,0.0045797755010426,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 8, 'dropout': 0.34681533095693795, 'lr': 0.0004043024085167118, 'batch': 16}",88.0,2.9413023298603225,0.0032683536748192576,,
fold2_search3_ens,3.0,,,,0.09652966940077219,0.08314247722310761,-0.5451841630655205,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",,0.7678080082522281,0.44260125608788536,Ensemble,True
fold2_search3_run1,3.0,1.0,RMSprop,44.0,0.1551422625780105,0.1363053172826767,-2.991341468432486,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,4.060404234596145,4.8987827417690255e-05,,
fold2_search3_run10,3.0,10.0,RMSprop,44.0,0.0948931872844696,0.0755833536386489,-0.4932368432404339,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,0.5939227047983218,0.5525638123384771,,
fold2_search3_run2,3.0,2.0,RMSprop,44.0,0.1332854628562927,0.1180125772953033,-1.9459419452794895,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,2.9138624208882415,0.003569871948767789,,
fold2_search3_run3,3.0,3.0,RMSprop,44.0,0.139968454837799,0.1166150346398353,-2.248770273001964,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,2.8164188275751436,0.004856231284759538,,
fold2_search3_run4,3.0,4.0,RMSprop,44.0,0.1201561093330383,0.102047175168991,-1.3941442303956433,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,2.023596780088634,0.043011656618304306,,
fold2_search3_run5,3.0,5.0,RMSprop,44.0,0.1166739091277122,0.0824865028262138,-1.2573871196327655,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,1.3990021121458298,0.16181234968781855,,
fold2_search3_run6,3.0,6.0,RMSprop,44.0,0.1010291576385498,0.0735024884343147,-0.6925912716664944,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,0.702467226091644,0.48238783366594307,,
fold2_search3_run7,3.0,7.0,RMSprop,44.0,0.1056309565901756,0.0884565412998199,-0.8502952325018478,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,1.4067350940298398,0.15950595527813727,,
fold2_search3_run8,3.0,8.0,RMSprop,44.0,0.1274431198835373,0.1124904602766037,-1.693341769527934,0.0037826159968972,"{'optimizer': 'RMSprop', 'lookback': 8, 'units': 16, 'dropout': 0.44103710207826635, 'lr': 0.0009654461041873508, 'batch': 8}",25.0,2.9738214234966622,0.002941161880154697,,
